Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Distance_km,Vehicle_Type,Fuel_Type,Fuel_Price_per_unit_INR,Fuel_Consumption_per_100km,Fuel_Cost_INR,Other_Costs_INR,Handling_Fee_INR,Total_Price_INR
Vasai-Virar,19.3914,72.8397,Tiruchirappalli,10.7905,78.7047,1144.64,Tractor Trailer,diesel,92.0,30,31592.06,1966.96,200,33759.02
Chandigarh,30.7333,76.7794,Srinagar,34.0837,74.7973,416.4,Large Truck,diesel,92.0,25,9577.2,699.68,200,10476.88
Bhopal,23.2599,77.4126,Ahmedabad,23.0225,72.5714,495.68,Electric Van,electric,12.0,18,1070.67,317.93,200,1588.6
Ahmedabad,23.0225,72.5714,Tiruchirappalli,10.7905,78.7047,1507.86,Tractor Trailer,petrol,100.0,30,45235.8,2511.79,200,47947.59
Indore,22.7196,75.8577,Thane,19.2183,72.9781,490.85,Electric Van,electric,12.0,18,1060.24,315.61,200,1575.84
Hubli,15.3647,75.123,Coimbatore,11.0168,76.9558,522.58,CNG Truck,cng,80.0,16,6689.02,454.9,200,7343.93
Vadodara,22.3072,73.1812,Pune,18.5204,73.8567,426.91,CNG Truck,cng,80.0,16,5464.45,391.76,200,6056.21
Bhopal,23.2599,77.4126,Faridabad,28.4089,77.3178,572.62,Medium Truck,diesel,92.0,18,9482.59,532.29,200,10214.87
Solapur,17.6599,75.9064,Howrah,22.5958,88.2636,1401.24,Medium Truck,diesel,92.0,18,23204.53,1128.89,200,24533.43
Kolkata,22.5726,88.3639,Gwalior,26.2183,78.1828,1107.37,Large Truck,diesel,92.0,25,25469.51,1528.84,200,27198.35
Lucknow,26.8467,80.9462,Madurai,9.9252,78.1198,1904.85,CNG Truck,cng,80.0,16,24382.08,1367.2,200,25949.28
Pune,18.5204,73.8567,Delhi,28.7041,77.1025,1179.48,Tractor Trailer,diesel,92.0,30,32553.65,2019.22,200,34772.87
Dhanbad,23.7957,86.4304,Varanasi,25.3176,82.9739,388.36,Large Truck,diesel,92.0,25,8932.28,666.03,200,9798.31
Kolkata,22.5726,88.3639,Pimpri-Chinchwad,18.6278,73.7898,1578.19,CNG Truck,cng,80.0,16,20200.83,1151.61,200,21552.44
Chennai,13.0827,80.2707,Rajkot,22.3039,70.8022,1433.32,Pickup,diesel,92.0,8,10549.24,384.0,200,11133.23
Madurai,9.9252,78.1198,Guwahati,26.1445,91.7362,2303.49,Small Truck,diesel,92.0,10,21192.11,741.05,200,22133.15
Jabalpur,23.1815,79.9864,Ghaziabad,28.6692,77.4538,660.61,Small Truck,diesel,92.0,10,6077.61,248.18,200,6525.8
Gwalior,26.2183,78.1828,Kalyan-Dombivli,19.2403,73.13,932.77,Tractor Trailer,diesel,92.0,30,25744.45,1649.15,200,27593.61
Jodhpur,26.2389,73.0243,Bhopal,23.2599,77.4126,553.18,CNG Truck,cng,80.0,16,7080.7,475.1,200,7755.8
Varanasi,25.3176,82.9739,Ghaziabad,28.6692,77.4538,661.69,CNG Truck,cng,80.0,16,8469.63,546.72,200,9216.35
Vasai-Virar,19.3914,72.8397,Ghaziabad,28.6692,77.4538,1132.73,Tractor Trailer,diesel,92.0,30,31263.35,1949.1,200,33412.44
Jodhpur,26.2389,73.0243,Tiruchirappalli,10.7905,78.7047,1818.4,Small Truck,petrol,100.0,10,18184.0,595.52,200,18979.52
Madurai,9.9252,78.1198,Thane,19.2183,72.9781,1171.82,Large Truck,diesel,92.0,25,26951.86,1606.18,200,28758.04
Kanpur,26.4499,80.3319,Visakhapatnam,17.6868,83.2185,1018.68,Medium Truck,diesel,92.0,18,16869.34,853.45,200,17922.79
Kanpur,26.4499,80.3319,Delhi,28.7041,77.1025,405.11,Pickup,diesel,92.0,8,2981.61,137.23,200,3318.84
Vijayawada,16.5062,80.648,Dhanbad,23.7957,86.4304,1010.26,Large Truck,diesel,92.0,25,23235.98,1412.31,200,24848.29
Vadodara,22.3072,73.1812,Solapur,17.6599,75.9064,589.98,Large Truck,diesel,92.0,25,13569.54,907.98,200,14677.52
Srinagar,34.0837,74.7973,Chennai,13.0827,80.2707,2399.74,Electric Van,electric,12.0,18,5183.44,1231.88,200,6615.31
Pimpri-Chinchwad,18.6278,73.7898,Madurai,9.9252,78.1198,1074.07,Tractor Trailer,diesel,92.0,30,29644.33,1861.1,200,31705.44
Indore,22.7196,75.8577,Vasai-Virar,19.3914,72.8397,484.77,Small Truck,diesel,92.0,10,4459.88,195.43,200,4855.31
Raipur,21.2514,81.6296,Jaipur,26.9124,75.7873,864.57,Large Truck,diesel,92.0,25,19885.11,1237.48,200,21322.59
Chennai,13.0827,80.2707,Kolkata,22.5726,88.3639,1358.36,Medium Truck,diesel,92.0,18,22494.44,1098.02,200,23792.46
Vijayawada,16.5062,80.648,Tiruchirappalli,10.7905,78.7047,669.31,CNG Truck,cng,80.0,16,8567.17,551.74,200,9318.91
Vadodara,22.3072,73.1812,Varanasi,25.3176,82.9739,1050.58,Small Truck,diesel,92.0,10,9665.34,365.17,200,10230.51
Ghaziabad,28.6692,77.4538,Chandigarh,30.7333,76.7794,238.58,Pickup,electric,12.0,8,229.04,97.26,200,526.3
Varanasi,25.3176,82.9739,Hyderabad,17.385,78.4867,996.73,Tractor Trailer,diesel,92.0,30,27509.75,1745.1,200,29454.84
Vasai-Virar,19.3914,72.8397,Tiruchirappalli,10.7905,78.7047,1144.64,Large Truck,diesel,92.0,25,26326.72,1573.57,200,28100.29
Mumbai,19.076,72.8777,Hyderabad,17.385,78.4867,621.46,Medium Truck,diesel,92.0,18,10291.38,567.45,200,11058.83
Guwahati,26.1445,91.7362,Patna,25.5941,85.1376,662.96,Tractor Trailer,diesel,92.0,30,18297.7,1244.44,200,19742.14
Nagpur,21.1458,79.0882,Dhanbad,23.7957,86.4304,809.76,Tractor Trailer,diesel,92.0,30,22349.38,1464.64,200,24014.02
Patna,25.5941,85.1376,Nagpur,21.1458,79.0882,790.94,Tractor Trailer,diesel,92.0,30,21829.94,1436.41,200,23466.35
Amritsar,31.634,74.8723,Hyderabad,17.385,78.4867,1625.72,Pickup,diesel,92.0,8,11965.3,430.17,200,12595.47
Agra,27.1767,78.0081,Ludhiana,30.9,75.8573,463.78,Electric Van,electric,12.0,18,1001.76,302.61,200,1504.38
Kanpur,26.4499,80.3319,Agra,27.1767,78.0081,244.36,Pickup,diesel,92.0,8,1798.49,98.65,200,2097.14
Vadodara,22.3072,73.1812,Kota,25.2138,75.8648,423.11,Pickup,diesel,92.0,8,3114.09,141.55,200,3455.64
Gwalior,26.2183,78.1828,Bengaluru,12.9716,77.5946,1474.25,Pickup,diesel,92.0,8,10850.48,393.82,200,11444.3
Pimpri-Chinchwad,18.6278,73.7898,Ludhiana,30.9,75.8573,1380.38,Small Truck,electric,12.0,10,1656.46,464.11,200,2320.57
Navi Mumbai,19.033,73.0297,Delhi,28.7041,77.1025,1152.08,Electric Van,electric,12.0,18,2488.49,633.0,200,3321.49
Kalyan-Dombivli,19.2403,73.13,Kolkata,22.5726,88.3639,1624.32,Medium Truck,diesel,92.0,18,26898.74,1289.51,200,28388.25
Jodhpur,26.2389,73.0243,Amritsar,31.634,74.8723,626.25,Electric Van,electric,12.0,18,1352.7,380.6,200,1933.3
Kolkata,22.5726,88.3639,Thane,19.2183,72.9781,1640.33,Large Truck,diesel,92.0,25,37727.59,2168.4,200,40095.99
Vadodara,22.3072,73.1812,Varanasi,25.3176,82.9739,1050.58,Electric Van,electric,12.0,18,2269.25,584.28,200,3053.53
Mumbai,19.076,72.8777,Madurai,9.9252,78.1198,1163.18,Tractor Trailer,diesel,92.0,30,32103.77,1994.77,200,34298.54
Solapur,17.6599,75.9064,Kanpur,26.4499,80.3319,1078.29,Large Truck,diesel,92.0,25,24800.67,1493.95,200,26494.62
Gwalior,26.2183,78.1828,Kalyan-Dombivli,19.2403,73.13,932.77,Small Truck,diesel,92.0,10,8581.48,329.83,200,9111.32
Ahmedabad,23.0225,72.5714,Srinagar,34.0837,74.7973,1248.9,Small Truck,diesel,92.0,10,11489.88,424.67,200,12114.55
Jaipur,26.9124,75.7873,Amritsar,31.634,74.8723,532.46,Electric Van,electric,12.0,18,1150.11,335.58,200,1685.69
Solapur,17.6599,75.9064,Patna,25.5941,85.1376,1298.63,Pickup,diesel,92.0,8,9557.92,351.67,200,10109.59
Dhanbad,23.7957,86.4304,Visakhapatnam,17.6868,83.2185,756.85,Pickup,diesel,92.0,8,5570.42,221.64,200,5992.06
Meerut,28.9845,77.7064,Indore,22.7196,75.8577,720.73,Tractor Trailer,diesel,92.0,30,19892.15,1331.1,200,21423.24
Lucknow,26.8467,80.9462,Chennai,13.0827,80.2707,1532.1,Large Truck,diesel,92.0,25,35238.3,2038.52,200,37476.82
Kalyan-Dombivli,19.2403,73.13,Agra,27.1767,78.0081,1013.25,CNG Truck,cng,80.0,16,12969.6,778.75,200,13948.35
Delhi,28.7041,77.1025,Vadodara,22.3072,73.1812,812.74,Electric Van,electric,12.0,18,1755.52,470.12,200,2425.63
Coimbatore,11.0168,76.9558,Kota,25.2138,75.8648,1582.81,Pickup,electric,12.0,8,1519.5,419.87,200,2139.37
Howrah,22.5958,88.2636,Dhanbad,23.7957,86.4304,230.01,Large Truck,diesel,92.0,25,5290.23,476.01,200,5966.24
Howrah,22.5958,88.2636,Meerut,28.9845,77.7064,1272.51,Pickup,petrol,100.0,8,10180.08,345.4,200,10725.48
Chandigarh,30.7333,76.7794,Visakhapatnam,17.6868,83.2185,1589.95,Tractor Trailer,diesel,92.0,30,43882.62,2634.93,200,46717.55
Kalyan-Dombivli,19.2403,73.13,Bengaluru,12.9716,77.5946,844.43,Large Truck,diesel,92.0,25,19421.89,1213.32,200,20835.21
Solapur,17.6599,75.9064,Meerut,28.9845,77.7064,1272.51,Pickup,petrol,100.0,8,10180.08,345.4,200,10725.48
Amritsar,31.634,74.8723,Bengaluru,12.9716,77.5946,2093.73,Medium Truck,diesel,92.0,18,34672.17,1627.49,200,36499.65
Coimbatore,11.0168,76.9558,Agra,27.1767,78.0081,1800.27,CNG Truck,cng,80.0,16,23043.46,1298.18,200,24541.63
Varanasi,25.3176,82.9739,Pune,18.5204,73.8567,1205.82,Tractor Trailer,diesel,92.0,30,33280.63,2058.73,200,35539.36
Hubli,15.3647,75.123,Jaipur,26.9124,75.7873,1285.88,Pickup,petrol,100.0,8,10287.04,348.61,200,10835.65
Chennai,13.0827,80.2707,Dhanbad,23.7957,86.4304,1356.3,CNG Truck,cng,80.0,16,17360.64,1005.16,200,18565.8
Jodhpur,26.2389,73.0243,Chandigarh,30.7333,76.7794,619.92,Pickup,diesel,92.0,8,4562.61,188.78,200,4951.39
Agra,27.1767,78.0081,Guwahati,26.1445,91.7362,1368.33,CNG Truck,cng,80.0,16,17514.62,1013.1,200,18727.72
Ludhiana,30.9,75.8573,Madurai,9.9252,78.1198,2343.99,Electric Van,electric,12.0,18,5063.02,1205.12,200,6468.13
Howrah,22.5958,88.2636,Bengaluru,12.9716,77.5946,1554.7,Tractor Trailer,diesel,92.0,30,42909.72,2582.05,200,45691.77
Madurai,9.9252,78.1198,Guwahati,26.1445,91.7362,2303.49,Large Truck,diesel,92.0,25,52980.27,2964.19,200,56144.46
Vasai-Virar,19.3914,72.8397,Pune,18.5204,73.8567,144.29,CNG Truck,cng,80.0,16,1846.91,205.23,200,2252.14
Pune,18.5204,73.8567,Varanasi,25.3176,82.9739,1205.82,Medium Truck,diesel,92.0,18,19968.38,988.19,200,21156.57
Mumbai,19.076,72.8777,Bengaluru,12.9716,77.5946,845.32,Large Truck,diesel,92.0,25,19442.36,1214.38,200,20856.74
Vadodara,22.3072,73.1812,Nashik,19.9975,73.7898,264.47,Large Truck,diesel,92.0,25,6082.81,517.36,200,6800.17
Visakhapatnam,17.6868,83.2185,Allahabad,25.4358,81.8463,873.23,Pickup,diesel,92.0,8,6426.97,249.58,200,6876.55
Nagpur,21.1458,79.0882,Kanpur,26.4499,80.3319,603.19,Medium Truck,diesel,92.0,18,9988.83,554.3,200,10743.12
Meerut,28.9845,77.7064,Jodhpur,26.2389,73.0243,553.11,Electric Van,electric,12.0,18,1194.72,345.49,200,1740.21
Coimbatore,11.0168,76.9558,Jaipur,26.9124,75.7873,1771.74,Medium Truck,diesel,92.0,18,29340.01,1395.65,200,30935.67
Pimpri-Chinchwad,18.6278,73.7898,Srinagar,34.0837,74.7973,1721.52,Large Truck,diesel,92.0,25,39594.96,2265.82,200,42060.78
Srinagar,34.0837,74.7973,Vadodara,22.3072,73.1812,1318.97,Electric Van,electric,12.0,18,2848.98,713.11,200,3762.08
Chennai,13.0827,80.2707,Varanasi,25.3176,82.9739,1389.61,Large Truck,cng,80.0,25,27792.2,1867.53,200,29859.73
Madurai,9.9252,78.1198,Vasai-Virar,19.3914,72.8397,1195.7,Electric Van,electric,12.0,18,2582.71,653.94,200,3436.65
Ghaziabad,28.6692,77.4538,Indore,22.7196,75.8577,680.59,Pickup,diesel,92.0,8,5009.14,203.34,200,5412.48
Visakhapatnam,17.6868,83.2185,Meerut,28.9845,77.7064,1375.95,Tractor Trailer,diesel,92.0,30,37976.22,2313.93,200,40490.15
Vadodara,22.3072,73.1812,Chandigarh,30.7333,76.7794,1002.8,Large Truck,diesel,92.0,25,23064.4,1403.36,200,24667.76
Kota,25.2138,75.8648,Rajkot,22.3039,70.8022,608.3,Large Truck,diesel,92.0,25,13990.9,929.96,200,15120.86
Guwahati,26.1445,91.7362,Tiruchirappalli,10.7905,78.7047,2188.12,Small Truck,electric,12.0,10,2625.74,706.44,200,3532.18
Vadodara,22.3072,73.1812,Bhopal,23.2599,77.4126,446.52,Tractor Trailer,diesel,92.0,30,12323.95,919.78,200,13443.73
Bhopal,23.2599,77.4126,Madurai,9.9252,78.1198,1484.65,Medium Truck,diesel,92.0,18,24585.8,1188.95,200,25974.75
Guwahati,26.1445,91.7362,Hubli,15.3647,75.123,2098.93,CNG Truck,cng,80.0,16,26866.3,1495.29,200,28561.6
Lucknow,26.8467,80.9462,Madurai,9.9252,78.1198,1904.85,Small Truck,diesel,92.0,10,17524.62,621.46,200,18346.08
Ghaziabad,28.6692,77.4538,Varanasi,25.3176,82.9739,661.69,Small Truck,diesel,92.0,10,6087.55,248.51,200,6536.05
Hubli,15.3647,75.123,Lucknow,26.8467,80.9462,1411.79,Small Truck,cng,80.0,10,11294.32,473.54,200,11967.86
Tiruchirappalli,10.7905,78.7047,Kalyan-Dombivli,19.2403,73.13,1113.75,Medium Truck,diesel,92.0,18,18443.7,921.9,200,19565.6
Howrah,22.5958,88.2636,Faridabad,28.4089,77.3178,1273.64,Tractor Trailer,diesel,92.0,30,35152.46,2160.46,200,37512.92
Patna,25.5941,85.1376,Kanpur,26.4499,80.3319,489.5,Large Truck,electric,12.0,25,1468.5,787.4,200,2455.9
Vadodara,22.3072,73.1812,Tiruchirappalli,10.7905,78.7047,1408.92,CNG Truck,cng,80.0,16,18034.18,1039.89,200,19274.06
Ahmedabad,23.0225,72.5714,Srinagar,34.0837,74.7973,1248.9,Small Truck,diesel,92.0,10,11489.88,424.67,200,12114.55
Bhopal,23.2599,77.4126,Guwahati,26.1445,91.7362,1481.2,Electric Van,electric,12.0,18,3199.39,790.98,200,4190.37
Rajkot,22.3039,70.8022,Gwalior,26.2183,78.1828,865.32,Large Truck,diesel,92.0,25,19902.36,1238.38,200,21340.74
Rajkot,22.3039,70.8022,Delhi,28.7041,77.1025,951.58,Large Truck,diesel,92.0,25,21886.34,1341.9,200,23428.24
Srinagar,34.0837,74.7973,Faridabad,28.4089,77.3178,674.9,Electric Van,electric,12.0,18,1457.78,403.95,200,2061.74
Pimpri-Chinchwad,18.6278,73.7898,Coimbatore,11.0168,76.9558,912.06,Pickup,diesel,92.0,8,6712.76,258.89,200,7171.66
Faridabad,28.4089,77.3178,Pune,18.5204,73.8567,1154.62,Electric Van,electric,12.0,18,2493.98,634.22,200,3328.2
Mumbai,19.076,72.8777,Jodhpur,26.2389,73.0243,796.62,Tractor Trailer,diesel,92.0,30,21986.71,1444.93,200,23631.64
Jodhpur,26.2389,73.0243,Bhopal,23.2599,77.4126,553.18,Electric Van,electric,12.0,18,1194.87,345.53,200,1740.4
Srinagar,34.0837,74.7973,Chandigarh,30.7333,76.7794,416.4,Large Truck,diesel,92.0,25,9577.2,699.68,200,10476.88
Ahmedabad,23.0225,72.5714,Lucknow,26.8467,80.9462,945.11,Small Truck,cng,80.0,10,7560.88,333.53,200,8094.41
Amritsar,31.634,74.8723,Ahmedabad,23.0225,72.5714,984.07,Small Truck,diesel,92.0,10,9053.44,345.22,200,9598.66
Howrah,22.5958,88.2636,Lucknow,26.8467,80.9462,877.0,Pickup,diesel,92.0,8,6454.72,250.48,200,6905.2
Kota,25.2138,75.8648,Tiruchirappalli,10.7905,78.7047,1631.48,Electric Van,electric,12.0,18,3524.0,863.11,200,4587.11
Coimbatore,11.0168,76.9558,Tiruchirappalli,10.7905,78.7047,192.61,Electric Van,electric,12.0,18,416.04,172.45,200,788.49
Kalyan-Dombivli,19.2403,73.13,Raipur,21.2514,81.6296,914.33,Small Truck,diesel,92.0,10,8411.84,324.3,200,8936.13
Jodhpur,26.2389,73.0243,Kalyan-Dombivli,19.2403,73.13,778.28,Large Truck,diesel,92.0,25,17900.44,1133.94,200,19234.38
Faridabad,28.4089,77.3178,Thane,19.2183,72.9781,1112.92,Pickup,diesel,92.0,8,8191.09,307.1,200,8698.19
Visakhapatnam,17.6868,83.2185,Faridabad,28.4089,77.3178,1335.77,Small Truck,cng,80.0,10,10686.16,450.73,200,11336.89
Howrah,22.5958,88.2636,Raipur,21.2514,81.6296,700.38,Large Truck,diesel,92.0,25,16108.74,1040.46,200,17349.2
Patna,25.5941,85.1376,Indore,22.7196,75.8577,993.98,Small Truck,electric,12.0,10,1192.78,348.19,200,1740.97
Hyderabad,17.385,78.4867,Kota,25.2138,75.8648,911.82,Medium Truck,diesel,92.0,18,15099.74,776.51,200,16076.25
Vijayawada,16.5062,80.648,Mumbai,19.076,72.8777,870.77,Small Truck,diesel,92.0,10,8011.08,311.23,200,8522.32
Visakhapatnam,17.6868,83.2185,Lucknow,26.8467,80.9462,1044.95,CNG Truck,cng,80.0,16,13375.36,799.67,200,14375.03
Chennai,13.0827,80.2707,Gwalior,26.2183,78.1828,1476.79,Medium Truck,diesel,92.0,18,24455.64,1183.29,200,25838.93
Bhopal,23.2599,77.4126,Agra,27.1767,78.0081,439.63,CNG Truck,cng,80.0,16,5627.26,400.16,200,6227.42
Vijayawada,16.5062,80.648,Delhi,28.7041,77.1025,1404.05,Large Truck,petrol,100.0,25,35101.25,1884.86,200,37186.11
Lucknow,26.8467,80.9462,Howrah,22.5958,88.2636,877.0,Large Truck,diesel,92.0,25,20171.0,1252.4,200,21623.4
Ahmedabad,23.0225,72.5714,Kota,25.2138,75.8648,413.6,CNG Truck,cng,80.0,16,5294.08,382.98,200,5877.06
Delhi,28.7041,77.1025,Nashik,19.9975,73.7898,1024.47,CNG Truck,cng,80.0,16,13113.22,786.15,200,14099.37
Coimbatore,11.0168,76.9558,Ludhiana,30.9,75.8573,2213.81,Small Truck,diesel,92.0,10,20367.05,714.14,200,21281.19
Kolkata,22.5726,88.3639,Lucknow,26.8467,80.9462,886.98,Electric Van,electric,12.0,18,1915.88,505.75,200,2621.63
Ahmedabad,23.0225,72.5714,Tiruchirappalli,10.7905,78.7047,1507.86,Small Truck,diesel,92.0,10,13872.31,502.36,200,14574.67
Faridabad,28.4089,77.3178,Navi Mumbai,19.033,73.0297,1129.95,Tractor Trailer,diesel,92.0,30,31186.62,1944.92,200,33331.55
Navi Mumbai,19.033,73.0297,Bhopal,23.2599,77.4126,653.73,Tractor Trailer,diesel,92.0,30,18042.95,1230.6,200,19473.54
Kota,25.2138,75.8648,Allahabad,25.4358,81.8463,601.65,Large Truck,diesel,92.0,25,13837.95,921.98,200,14959.93
Mumbai,19.076,72.8777,Kolkata,22.5726,88.3639,1654.84,Pickup,diesel,92.0,8,12179.62,437.16,200,12816.78
Vasai-Virar,19.3914,72.8397,Guwahati,26.1445,91.7362,2075.05,Small Truck,diesel,92.0,10,19090.46,672.52,200,19962.98
Varanasi,25.3176,82.9739,Chennai,13.0827,80.2707,1389.61,Small Truck,diesel,92.0,10,12784.41,466.88,200,13451.29
Jaipur,26.9124,75.7873,Chennai,13.0827,80.2707,1607.1,Medium Truck,diesel,92.0,18,26613.58,1277.11,200,28090.69
Madurai,9.9252,78.1198,Coimbatore,11.0168,76.9558,175.87,Tractor Trailer,diesel,92.0,30,4854.01,513.81,200,5567.82
Meerut,28.9845,77.7064,Vijayawada,16.5062,80.648,1419.74,Tractor Trailer,diesel,92.0,30,39184.82,2379.61,200,41764.43
Navi Mumbai,19.033,73.0297,Vijayawada,16.5062,80.648,854.1,Pickup,diesel,92.0,8,6286.18,244.98,200,6731.16
Chandigarh,30.7333,76.7794,Ahmedabad,23.0225,72.5714,953.33,CNG Truck,cng,80.0,16,12202.62,739.2,200,13141.82
Gwalior,26.2183,78.1828,Hubli,15.3647,75.123,1247.9,CNG Truck,cng,80.0,16,15973.12,933.61,200,17106.73
Varanasi,25.3176,82.9739,Bhopal,23.2599,77.4126,608.24,Pickup,diesel,92.0,8,4476.65,185.98,200,4862.62
Srinagar,34.0837,74.7973,Rajkot,22.3039,70.8022,1366.74,Pickup,diesel,92.0,8,10059.21,368.02,200,10627.22
Ludhiana,30.9,75.8573,Vasai-Virar,19.3914,72.8397,1315.05,Large Truck,diesel,92.0,25,30246.15,1778.06,200,32224.21
Faridabad,28.4089,77.3178,Jaipur,26.9124,75.7873,224.52,Electric Van,diesel,92.0,18,3718.05,187.77,200,4105.82
Hyderabad,17.385,78.4867,Vasai-Virar,19.3914,72.8397,636.19,Small Truck,diesel,92.0,10,5852.95,240.86,200,6293.81
Faridabad,28.4089,77.3178,Lucknow,26.8467,80.9462,397.4,Tractor Trailer,diesel,92.0,30,10968.24,846.1,200,12014.34
Gwalior,26.2183,78.1828,Agra,27.1767,78.0081,107.97,Electric Van,electric,12.0,18,233.22,131.83,200,565.04
Nashik,19.9975,73.7898,Kota,25.2138,75.8648,617.86,CNG Truck,cng,80.0,16,7908.61,517.79,200,8626.4
Hubli,15.3647,75.123,Kolkata,22.5726,88.3639,1605.2,Large Truck,diesel,92.0,25,36919.6,2126.24,200,39245.84
Nashik,19.9975,73.7898,Pune,18.5204,73.8567,164.4,Tractor Trailer,diesel,92.0,30,4537.44,496.6,200,5234.04
Jaipur,26.9124,75.7873,Kota,25.2138,75.8648,189.03,Pickup,diesel,92.0,8,1391.26,85.37,200,1676.63
Pune,18.5204,73.8567,Nashik,19.9975,73.7898,164.4,CNG Truck,cng,80.0,16,2104.32,218.5,200,2522.82
Ahmedabad,23.0225,72.5714,Patna,25.5941,85.1376,1304.54,Tractor Trailer,diesel,92.0,30,36005.3,2206.81,200,38412.11
Vasai-Virar,19.3914,72.8397,Gwalior,26.2183,78.1828,935.76,CNG Truck,cng,80.0,16,11977.73,727.6,200,12905.33
Jodhpur,26.2389,73.0243,Guwahati,26.1445,91.7362,1865.43,Electric Van,electric,12.0,18,4029.33,975.41,200,5204.74
Vijayawada,16.5062,80.648,Kota,25.2138,75.8648,1088.03,CNG Truck,cng,80.0,16,13926.78,828.1,200,14954.88
Mumbai,19.076,72.8777,Nagpur,21.1458,79.0882,688.02,Large Truck,diesel,92.0,25,15824.46,1025.62,200,17050.08
Ghaziabad,28.6692,77.4538,Agra,27.1767,78.0081,174.66,Large Truck,diesel,92.0,25,4017.18,409.59,200,4626.77
Jaipur,26.9124,75.7873,Jabalpur,23.1815,79.9864,592.39,Electric Van,electric,12.0,18,1279.56,364.35,200,1843.91
Jaipur,26.9124,75.7873,Tiruchirappalli,10.7905,78.7047,1818.54,Electric Van,diesel,92.0,18,30115.02,952.9,200,31267.92
Tiruchirappalli,10.7905,78.7047,Allahabad,25.4358,81.8463,1661.74,Medium Truck,diesel,92.0,18,27518.41,1316.45,200,29034.87
Srinagar,34.0837,74.7973,Agra,27.1767,78.0081,827.04,Medium Truck,diesel,92.0,18,13695.78,715.47,200,14611.25
Hubli,15.3647,75.123,Ludhiana,30.9,75.8573,1729.06,CNG Truck,diesel,92.0,16,25451.76,1251.18,200,26902.94
Kolkata,22.5726,88.3639,Jaipur,26.9124,75.7873,1357.77,Medium Truck,diesel,92.0,18,22484.67,1097.59,200,23782.27
Kolkata,22.5726,88.3639,Guwahati,26.1445,91.7362,523.81,Small Truck,diesel,92.0,10,4819.05,207.14,200,5226.19
Kota,25.2138,75.8648,Vasai-Virar,19.3914,72.8397,718.25,Pickup,diesel,92.0,8,5286.32,212.38,200,5698.7
Kalyan-Dombivli,19.2403,73.13,Patna,25.5941,85.1376,1421.07,Medium Truck,diesel,92.0,18,23532.92,1143.17,200,24876.09
Ahmedabad,23.0225,72.5714,Nashik,19.9975,73.7898,359.2,Pickup,diesel,92.0,8,2643.71,126.21,200,2969.92
Guwahati,26.1445,91.7362,Coimbatore,11.0168,76.9558,2288.25,Pickup,diesel,92.0,8,16841.52,589.18,200,17630.7
Ghaziabad,28.6692,77.4538,Bengaluru,12.9716,77.5946,1745.55,Medium Truck,diesel,92.0,18,28906.31,1376.8,200,30483.1
Vijayawada,16.5062,80.648,Kolkata,22.5726,88.3639,1052.54,Small Truck,diesel,92.0,10,9683.37,365.76,200,10249.13
Thane,19.2183,72.9781,Lucknow,26.8467,80.9462,1175.87,CNG Truck,cng,80.0,16,15051.14,886.07,200,16137.21
Ludhiana,30.9,75.8573,Ahmedabad,23.0225,72.5714,934.36,Small Truck,diesel,92.0,10,8596.11,330.31,200,9126.42
Vasai-Virar,19.3914,72.8397,Nagpur,21.1458,79.0882,680.28,Medium Truck,diesel,92.0,18,11265.44,609.8,200,12075.24
Solapur,17.6599,75.9064,Bhopal,23.2599,77.4126,642.14,Tractor Trailer,diesel,92.0,30,17723.06,1213.21,200,19136.27
Kota,25.2138,75.8648,Nashik,19.9975,73.7898,617.86,Small Truck,diesel,92.0,10,5684.31,235.36,200,6119.67
Tiruchirappalli,10.7905,78.7047,Bengaluru,12.9716,77.5946,270.94,Pickup,diesel,92.0,8,1994.12,105.03,200,2299.14
Chennai,13.0827,80.2707,Ludhiana,30.9,75.8573,2032.16,Tractor Trailer,diesel,92.0,30,56087.62,3298.24,200,59585.86
Rajkot,22.3039,70.8022,Solapur,17.6599,75.9064,742.25,Electric Van,electric,12.0,18,1603.26,436.28,200,2239.54
Ahmedabad,23.0225,72.5714,Rajkot,22.3039,70.8022,198.34,Small Truck,petrol,100.0,10,1983.4,109.5,200,2292.9
Jodhpur,26.2389,73.0243,Srinagar,34.0837,74.7973,888.75,CNG Truck,cng,80.0,16,11376.0,696.57,200,12272.58
Faridabad,28.4089,77.3178,Hyderabad,17.385,78.4867,1231.61,Pickup,diesel,92.0,8,9064.65,335.59,200,9600.24
Visakhapatnam,17.6868,83.2185,Vasai-Virar,19.3914,72.8397,1110.27,Tractor Trailer,diesel,92.0,30,30643.45,1915.4,200,32758.86
Hyderabad,17.385,78.4867,Rajkot,22.3039,70.8022,971.85,CNG Truck,cng,80.0,16,12439.68,751.42,200,13391.1
Agra,27.1767,78.0081,Bhopal,23.2599,77.4126,439.63,Large Truck,diesel,92.0,25,10111.49,727.56,200,11039.05
Chennai,13.0827,80.2707,Navi Mumbai,19.033,73.0297,1017.7,Electric Van,electric,12.0,18,2198.23,568.5,200,2966.73
Navi Mumbai,19.033,73.0297,Indore,22.7196,75.8577,504.31,CNG Truck,cng,80.0,16,6455.17,442.84,200,7098.01
Hubli,15.3647,75.123,Raipur,21.2514,81.6296,948.51,CNG Truck,cng,80.0,16,12140.93,736.02,200,13076.94
